3,23119590.92,22.01
6,27651756.13,0.59
9,24351345.57,0.49
12,29049400.37,1.45
15,42101134.67,2.63
18,42990142.93,2.04
21,40075231.73,1.94
24,48650438.89,2.28
27,43295921.45,3.58
30,52914239.04,3.37
33,52799701.11,1.59
36,52716577.23,2.69
39,57361447.56,3.48
42,56744778.59,3.41
45,63436980.17,3.60
48,59856655.26,2.52
51,69811581.68,2.76
54,75577261.86,3.02
57,64392591.36,2.60
60,70404888.79,2.87
63,74182743.05,3.41
66,68015502.73,4.12
69,78667360.62,4.66
72,74962396.99,4.13
75,80000287.71,4.22
78,75131655.76,4.83
81,80749940.72,7.16
84,72231490.58,5.78
87,77733488.07,5.20
90,83655374.41,7.81
93,82430840.75,6.52
96,84090666.40,15.08
99,81625666.34,4.59
102,85128087.20,3.72
105,89340718.41,3.03
108,88872625.42,4.98
111,85483924.40,4.26
114,91561257.15,8.08
117,92177675.83,3.24
120,92142524.24,7.95
123,98276320.88,4.12
126,91772569.35,4.15
129,96062561.31,4.88
132,96474518.59,9.18
135,96549833.06,9.21
138,98541550.92,6.01
141,104334227.14,5.67
144,97136600.80,8.50
147,102214643.84,7.62
150,101922894.04,5.68
153,104827994.04,6.08
156,111107119.69,6.83
159,109994499.58,9.12
162,109790750.51,6.46
165,109236086.19,5.11
168,104386507.56,6.00
171,108003834.58,5.08
174,113746203.02,6.51
177,113382935.82,7.48
180,108709188.99,6.06
183,119560610.39,8.22
186,117452519.64,8.59
189,115325104.28,6.53
192,118980095.47,8.52
195,114048501.98,9.04
198,120644530.69,7.81
201,124083204.29,9.96
204,119026590.50,12.88
207,121895747.05,10.45
210,118813454.52,12.35
213,119211767.10,8.60
216,121070200.10,13.77
219,124950574.00,13.25
222,122615777.78,9.47
225,128297082.01,12.88
228,126743955.41,19.37
231,127201857.08,11.23
234,127654720.68,14.55
237,132402053.10,15.07
240,132017474.25,20.86
243,125216846.26,16.99
246,133545748.54,16.56
249,132280822.20,18.29
252,132503550.40,15.65
255,132165449.45,18.75
258,138381573.47,19.56
261,135503662.67,23.47
264,134822784.15,11.63
267,135414940.70,20.64
270,134934390.25,22.66
273,141860262.32,17.36
276,135473776.46,18.74
279,143982825.43,21.62
282,137361520.47,16.32
285,138626178.44,26.51
288,137494510.97,22.07
291,140761770.50,24.19
294,142823311.76,23.42
297,141741834.67,17.67
